Code,SOC ,Aspect,Clay fraction,DEM,Year,"Slope length 
factor","Valley bottom
flatness index",Sand fraction,Silt fraction,Slope,"Soil parent
material","Terrain roughness
index","Topographic wetness
index",Curvature,Longitude,Latitude,NDVI,NPP,"Annual mean
temperature","Annual mean
precipitation","Annual
evapotranspiration","Surface solar
radiation","Nighttime landsurface
temperature","Daytime land surface
temperature",OC Emissions,NOx Emissions,NH3 Emissions,CO Emissions,BC Emissions,Population density,GDP,"Distance from the
railway","Distance from the
road","Nighttime light
index",CO2 Emissions,Land use,Total nitrogen,pH,"Cation exchange
capacity",Bulk density
S0001,1.6216,130.8650055,14,1284,2011,120,0.00000001,54,32,9.036370277,92,15.29710007,16,-0.074074097,109.39,36.82,0.7301,300.1000061,9.75,625.6569824,517.0020142,160744000,16.94879913,16.94879913,142.8670044,522.9069824,324.7990112,5983.060059,81.3302002,14,192.3600006,9899.5,3605.550049,11,1700.23999,1,1507,83,184,126
S0002,1.7514,319.7149963,14,1191,2011,0,0.00000223,54,32,20.40579987,97,24.13299942,1,0.024691399,109.33,36.75,0.6806,336.5,10.1583004,615.8259888,518.9199829,160274000,18.77709961,18.77709961,460.4450073,2407.97998,968.9849854,23527.09961,273.3129883,15,252.6620026,19105,1000,174,3197.570068,1,1572,83,186,129
S0003,1.9243,54.22990036,14,1192,2011,0,0.0909157,54,32,8.80477047,92,12.1573,-1,-0.0123457,109.25,36.75,0.7303,327.3999939,10.10000038,608.2210083,511.8880005,160072000,18.72820091,18.72820091,460.4450073,2407.97998,968.9849854,23527.09961,273.3129883,11,191.8529968,24041.59961,2236.070068,12,3197.570068,1,1588,83,195,119
S0004,2.9838,235.6199951,14,1219,2011,4,0.00101105,54,32,5.332049847,92,17.61249924,3,0.0123457,109.27,36.76,0.6559,310,10.10000038,604.9429932,518.9199829,160334000,18.74360085,18.74360085,460.4450073,2407.97998,968.9849854,23527.09961,273.3129883,12,178.5780029,22627.40039,1000,1,3197.570068,1,1577,82,201,123
S0005,2.427,293.9620056,29,37,2012,0,6.87766981,33,38,1.524770021,176,2.323790073,16,0.0123457,113.05,28.9167,0.7828,477,17.47500038,1832.300049,941.6680298,129823000,22.44860077,22.44860077,932.2020264,5598.140137,4200.640137,56421.80078,586.197998,26,1629.530029,3000,1414.209961,9,25330.69922,1,1976,58,185,131
S0006,4.9368,321.1159973,14,1462,2005,0,0.00014879,54,32,6.143330097,92,11.48910046,-1,0.0123457,108.5291,36.0485,0.8528,400.2999878,8.324999809,532.7030029,668.125,166656000,16.41189957,16.41189957,59.65200043,130.0299988,162.1569977,2139.820068,27.5951004,4,15.29500008,56639.19922,7810.25,0,470.2210083,1,2522,74,186,124
S0007,4.9762,322.7839966,14,1442,2005,0,0.00048623,54,32,15.00879955,92,17.0821991,5,0.0123457,108.5291,36.0494,0.8528,400.2999878,8.324999809,532.7030029,651.5540161,166656000,16.41189957,16.41189957,59.65200043,130.0299988,162.1569977,2139.820068,27.5951004,4,15.29500008,57384.69922,7071.069824,0,470.2210083,1,2522,74,186,124
S0008,5.1196,42.31620026,14,1391,2005,99,0.185624,54,32,13.76029968,92,17.28580093,16,0.024691399,108.5249,36.0543,0.8528,381.3999939,8.458330154,532.7030029,651.5540161,166628992,16.17070007,16.17070007,59.65200043,130.0299988,162.1569977,2139.820068,27.5951004,10,15.29500008,57384.69922,7071.069824,0,470.2210083,1,2497,72,185,124
S0009,2.39,242.5800018,36,165,2005,72,0.0267892,39,25,11.44639969,219,13.01539993,16,0.024691399,117.95,26.467,0.7833,542.2000122,20.08329964,1952.930054,932.6699829,145574000,21.78319931,21.78319931,399.196991,926.7999878,1306.420044,28328.40039,157.9490051,29,296.2189941,0,2236.070068,276,11233.40039,1,1870,55,163,122
S0013,4.5323,30.96380043,36,49,2005,0,4.08701992,39,25,0.451462001,176,1.095450044,16,-0.074074097,119.7,30.2333,0.2879,558.7659912,16.6583004,1162.719971,897.8569946,149992000,24.21139908,24.21139908,336.9179993,6599.379883,1391.069946,48486.89844,326.2709961,2120,1326.589966,1000,3605.550049,5062,16446.90039,1,2029,59,162,112
